"filename", "language", "JavaScript", "PHP", "CSS", "JSON", "XML", "Markdown", "Less", "SCSS", "Ruby", "comment", "blank", "total"
"d:\programming\uniProject\uniProject\routes\auth.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 17, 60
"d:\programming\uniProject\uniProject\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"d:\programming\uniProject\uniProject\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"d:\programming\uniProject\uniProject\routes\web.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 10, 16, 62
"d:\programming\uniProject\uniProject\tailwind.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"d:\programming\uniProject\uniProject\tests\CreatesApplication.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"d:\programming\uniProject\uniProject\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56
"d:\programming\uniProject\uniProject\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 16, 66
"d:\programming\uniProject\uniProject\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 13, 45
"d:\programming\uniProject\uniProject\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 22, 72
"d:\programming\uniProject\uniProject\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"d:\programming\uniProject\uniProject\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\programming\uniProject\uniProject\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\programming\uniProject\uniProject\tests\Feature\ProfileTest.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 24, 100
"d:\programming\uniProject\uniProject\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\programming\uniProject\uniProject\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"d:\programming\uniProject\uniProject\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\programming\uniProject\uniProject\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\programming\uniProject\uniProject\vite.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 2324, 5423, 11483, 10171, 42, 45, 239, 257, 8, 1363, 2697, 34052
